date,suggested_spot,entry_spot,entry_time,exit_time
2025-04-10,6,6,08:01:10,08:02:18
2025-04-10,6,5,08:04:22,08:05:21
2025-04-10,5,5,08:04:30,08:06:38
2025-04-10,6,6,08:05:38,08:07:15
2025-04-10,3,3,08:05:55,08:08:07
2025-04-10,5,5,08:08:03,08:09:06
2025-04-10,4,4,08:08:39,08:09:43
2025-04-11,2,6,08:00:04,08:01:05
2025-04-11,2,2,08:02:01,08:04:09
2025-04-11,5,5,08:02:10,08:03:20
2025-04-11,2,2,08:03:26,08:05:15
2025-04-11,2,6,08:04:21,08:05:46
2025-04-11,2,2,08:04:29,08:05:47
2025-04-11,6,6,08:04:46,08:06:39
2025-04-11,4,4,08:04:54,08:06:50
2025-04-11,5,5,08:07:07,08:08:17
2025-04-12,1,1,08:00:09,08:01:44
2025-04-12,2,2,08:00:54,08:02:15
2025-04-12,5,5,08:01:02,08:02:07
2025-04-12,2,2,08:01:35,08:04:08
2025-04-12,3,3,08:02:53,08:04:35
2025-04-12,4,5,08:03:52,08:05:03
2025-04-12,2,4,08:09:38,08:10:02
2025-04-12,6,3,08:09:47,08:10:10
2025-04-13,2,4,08:01:02,08:03:27
2025-04-13,6,6,08:05:32,08:08:27
2025-04-13,6,6,08:07:56,08:09:13
2025-04-13,5,6,08:08:06,08:09:14
2025-04-13,6,2,08:08:20,08:09:43
2025-04-14,6,6,08:01:21,08:04:12
2025-04-14,2,3,08:04:06,08:06:16
2025-04-14,5,5,08:05:28,08:07:23
2025-04-14,3,3,08:05:52,08:08:24
2025-04-14,4,4,08:06:29,08:07:23
2025-04-15,4,4,08:01:40,08:03:20
2025-04-15,5,5,08:03:15,08:05:13
2025-04-15,3,3,08:04:56,08:06:51
2025-04-15,6,6,08:05:13,08:06:05
2025-04-15,6,6,08:05:22,08:07:36
2025-04-15,1,1,08:05:33,08:06:25
2025-04-15,5,5,08:05:49,08:07:48
2025-04-15,5,5,08:05:56,08:08:03
2025-04-15,3,3,08:06:49,08:08:14
2025-04-15,2,1,08:09:59,08:10:23
2025-04-16,6,4,08:00:29,08:02:14
2025-04-16,6,1,08:01:08,08:01:54
2025-04-16,1,6,08:01:11,08:04:03
2025-04-16,5,5,08:03:00,08:04:26
2025-04-16,2,2,08:03:32,08:05:43
2025-04-16,3,1,08:03:43,08:04:25
2025-04-16,1,1,08:07:45,08:09:14
2025-04-16,6,6,08:08:22,08:08:55
2025-04-16,6,6,08:09:14,08:09:56
2025-04-17,1,1,08:01:22,08:03:36
2025-04-17,6,3,08:04:15,08:07:12
2025-04-17,1,1,08:06:32,08:08:55
2025-04-17,1,1,08:07:31,08:08:35
2025-04-17,4,4,08:09:41,08:10:09
2025-04-18,3,3,08:00:03,08:02:34
2025-04-18,6,6,08:00:54,08:02:42
2025-04-18,3,3,08:02:40,08:04:13
2025-04-18,1,1,08:04:37,08:05:51
2025-04-18,5,5,08:06:43,08:07:14
2025-04-18,5,5,08:08:32,08:09:12
2025-04-18,5,5,08:08:45,08:09:45
2025-04-18,6,6,08:08:51,08:09:58
2025-04-19,5,1,08:03:18,08:04:28
2025-04-19,6,4,08:04:58,08:07:03
2025-04-19,5,5,08:05:27,08:06:39
2025-04-19,2,6,08:06:06,08:08:21
2025-04-19,5,5,08:06:29,08:09:26
2025-04-19,3,3,08:06:55,08:08:17
2025-04-19,5,5,08:07:44,08:08:47
2025-04-19,2,4,08:09:14,08:09:48
2025-04-20,3,3,08:00:31,08:01:37
2025-04-20,2,2,08:01:42,08:03:07
2025-04-20,1,1,08:02:46,08:03:33
2025-04-20,6,6,08:07:26,08:09:36
2025-04-20,5,5,08:07:53,08:08:44
2025-04-20,1,1,08:09:30,08:10:00
